ArraySide,Sparsity,Iterations,Threads,CSR_Build_Serial,CSR_Build_Parallel,CSR_Mul_Serial,CSR_Mul_Parallel,Dense_Mul_Serial,Dense_Mul_Parallel,Verification
4000,20,20,32,0.200157,0.04848975,0.65697675,0.21790525,0.834334,0.23934375,PASS
4000,40,20,1,0.26540525,0.25987325,0.51799825,0.48314875,0.86071425,0.845888,PASS
4000,40,20,2,0.25152775,0.146781,0.50414325,0.263469,0.8253152500000001,0.48099925,PASS
4000,40,20,4,0.2641825,0.09482525,0.49667775000000003,0.2354485,0.833101,0.34129675000000004,PASS
4000,40,20,8,0.2742745,0.0559495,0.49859825,0.164922,0.83903075,0.21894925,PASS
4000,40,20,16,0.25976275,0.0596705,0.502176,0.163594,0.8587905,0.2550165,PASS
4000,40,20,32,0.26197875000000004,0.057723250000000004,0.4997685,0.17336175,0.849858,0.24261375000000002,PASS
4000,60,20,1,0.26209024999999997,0.26621075,0.3421555,0.3563715,0.852627,0.8586575,PASS
4000,60,20,2,0.25090875,0.131364,0.33620225000000004,0.178787,0.841082,0.47241825,PASS
4000,60,20,4,0.25341025,0.08885825,0.334036,0.1306445,0.84113425,0.370353,PASS
4000,60,20,8,0.25568475,0.061718499999999996,0.34293225,0.13024825,0.85532925,0.22433475,PASS
4000,60,20,16,0.24792975,0.059299000000000004,0.3422815,0.11467725,0.837603,0.23899075,PASS
4000,60,20,32,0.24882525,0.05605325,0.33924375,0.11973075,0.8304165,0.23279175,PASS
4000,80,20,1,0.1600325,0.17045125,0.1609035,0.16444975,0.84624475,0.8611835,PASS
4000,80,20,2,0.15671725,0.08271675,0.16524575,0.08779625,0.8288504999999999,0.497853,PASS
4000,80,20,4,0.154372,0.0574675,0.16286075,0.07499075,0.84921125,0.35835975,PASS
4000,80,20,8,0.1623315,0.037753999999999996,0.165763,0.051606,0.85074275,0.22326674999999999,PASS
4000,80,20,16,0.1717785,0.039995,0.17187525,0.066921,0.8471252499999999,0.24202975,PASS
4000,80,20,32,0.1628215,0.039839,0.16697299999999998,0.0749925,0.85609375,0.23547374999999998,PASS
4000,90,20,1,0.11237925,0.11605875,0.08207825,0.08448275,0.854886,0.82593425,PASS
4000,90,20,2,0.11189099999999999,0.0670635,0.08894099999999999,0.0454235,0.8515535,0.47727375,PASS
4000,90,20,4,0.1109265,0.0460835,0.08455425,0.03453275,0.8621,0.2904185,PASS
4000,90,20,8,0.11217575,0.02441675,0.0886,0.02623375,0.859287,0.2154455,PASS
4000,90,20,16,0.110706,0.030709,0.08695325,0.0378345,0.8452625,0.2444965,PASS
4000,90,20,32,0.10734275,0.0294715,0.0857375,0.045052999999999996,0.86489075,0.234257,PASS
4000,99,20,1,0.07328575,0.072114,0.0088865,0.008633499999999999,0.8676065000000001,0.87052125,PASS
4000,99,20,2,0.07270675,0.043532,0.00887225,0.00503025,0.84349775,0.48473175,PASS
4000,99,20,4,0.07317950000000001,0.02762375,0.009350750000000001,0.004235,0.8497224999999999,0.3515695,PASS
4000,99,20,8,0.0751795,0.0164755,0.00961125,0.0030705000000000003,0.8467625,0.22416124999999998,PASS
4000,99,20,16,0.074584,0.020873,0.00907,0.014594,0.8711195,0.2395445,PASS
4000,99,20,32,0.073995,0.0233325,0.00992675,0.02535475,0.86218425,0.24075125,PASS
7000,0,20,1,0.46677250000000003,0.56474725,2.51209825,2.41712725,2.52136775,2.59301475,PASS
7000,0,20,2,0.42064425,0.28909525,2.560421,1.37171025,2.54875025,1.4092965,PASS
7000,0,20,4,0.48091575000000003,0.21332925,2.5132395,0.9939835,2.5374505000000003,0.972553,PASS
7000,0,20,8,0.45412975,0.13241975,2.57392075,0.77470275,2.5230117499999998,0.65638675,PASS
7000,0,20,16,0.528482,0.16914099999999999,2.53197875,0.7891684999999999,2.552502,0.6921685,PASS
7000,0,20,32,0.5097605000000001,0.136923,2.5542759999999998,0.78337475,2.4964822499999997,0.70182625,PASS
7000,20,20,1,0.69697275,0.75991875,1.99868625,1.9568945,2.51006175,2.57088575,PASS
7000,20,20,2,0.78130725,0.44378,1.97407625,1.219419,2.52015525,1.429845,PASS
7000,20,20,4,0.72092775,0.2656965,2.017157,0.89660775,2.5375787499999998,1.0093462500000001,PASS
7000,20,20,8,0.73957125,0.20265675,2.0530725,0.63273325,2.54673725,0.67114675,PASS
7000,20,20,16,0.66388925,0.192002,2.06896025,0.62854225,2.5159725,0.67861,PASS
7000,20,20,32,0.66336975,0.17713374999999998,1.9892755,0.6336415,2.534147,0.6968235,PASS
7000,40,20,1,0.83696825,0.90064475,1.439522,1.45479125,2.50625225,2.57646775,PASS
7000,40,20,2,0.833297,0.4526335,1.48666525,0.82024975,2.494111,1.46284125,PASS
7000,40,20,4,0.8205135,0.30470725,1.4640845,0.66817475,2.511276,0.99275725,PASS
7000,40,20,8,0.8364214999999999,0.172512,1.47765125,0.45639050000000003,2.530405,0.66199275,PASS
7000,40,20,16,0.81638475,0.1856185,1.473592,0.48527425,2.5213735,0.68658525,PASS
7000,40,20,32,0.81816325,0.18367325,1.48671825,0.46980125,2.5219127500000003,0.6894585,PASS
7000,60,20,1,0.752648,0.78450425,1.02218925,1.03958975,2.6025395,2.6522052499999997,PASS
7000,60,20,2,0.769745,0.422824,0.9925442499999999,0.56494,2.51158525,1.4631895,PASS
7000,60,20,4,0.7711939999999999,0.26788475,0.99974025,0.40242675,2.5197392499999998,0.9854215,PASS
7000,60,20,8,0.7698775,0.16329,0.9830245,0.3166835,2.5444575,0.66203375,PASS
7000,60,20,16,0.7440705,0.172046,0.99614,0.322479,2.52918575,0.6886902500000001,PASS
7000,60,20,32,0.76515775,0.16125825,0.976637,0.329421,2.526873,0.6899465,PASS
7000,80,20,1,0.47889275000000003,0.47238275,0.500727,0.5006975,2.5001949999999997,2.560788,PASS
7000,80,20,2,0.4815365,0.2541625,0.50466775,0.29676275,2.509335,1.61275825,PASS
7000,80,20,4,0.4787465,0.156919,0.50078975,0.19648575,2.517763,0.97463325,PASS
7000,80,20,8,0.4856625,0.09750675,0.50280625,0.15657575,2.51639675,0.67714975,PASS
7000,80,20,16,0.49360275,0.1024815,0.49230275,0.16544124999999998,2.551032,0.6915255,PASS
7000,80,20,32,0.488029,0.105632,0.51169075,0.1796695,2.53742425,0.6896405,PASS
7000,90,20,1,0.3474565,0.34003475,0.24723825,0.24469174999999999,2.50416375,2.54344875,PASS
7000,90,20,2,0.349005,0.179427,0.2559035,0.1378235,2.528358,1.591086,PASS
7000,90,20,4,0.35564700000000005,0.1155515,0.2426015,0.08189774999999999,2.5174385,1.01055725,PASS
7000,90,20,8,0.34633475,0.07245025,0.24963025,0.07816675000000001,2.514106,0.6668127500000001,PASS
7000,90,20,16,0.35407575,0.0773515,0.25730525,0.093294,2.525697,0.6846075,PASS
7000,90,20,32,0.356225,0.07594025,0.25052725,0.1009115,2.52726225,0.6851435,PASS
7000,99,20,1,0.226721,0.21653624999999999,0.0252685,0.024599,2.50629925,2.572021,PASS
7000,99,20,2,0.23064099999999998,0.13191225,0.028835,0.01557975,2.506205,1.503392,PASS
7000,99,20,4,0.23226675,0.084478,0.026614,0.0090585,2.52331225,1.007935,PASS
7000,99,20,8,0.2305925,0.05183375,0.0260985,0.00969125,2.509385,0.66377275,PASS
7000,99,20,16,0.2305735,0.05739125,0.02550975,0.019556,2.565096,0.7018267499999999,PASS
7000,99,20,32,0.23496475,0.0590805,0.02871475,0.0259505,2.5145805,0.6790915,PASS
10000,0,20,1,1.35421725,1.27881525,5.14131775,4.99742625,5.09414875,5.1539157499999995,PASS
10000,0,20,2,1.4144035000000001,0.773434,5.0258395,2.94326175,5.1681165,2.925313,PASS
10000,0,20,4,1.4759452499999999,0.505017,5.1609057499999995,2.1321357499999998,5.15797625,2.05504925,PASS
10000,0,20,8,1.48809175,0.42866099999999996,5.1356382499999995,1.583801,5.237413,1.36935225,PASS
10000,0,20,16,1.4653315,0.371463,5.070505499999999,1.5934955,5.184439,1.39020725,PASS
10000,0,20,32,1.5105165,0.37645575,5.38547475,1.56303025,5.2435434999999995,1.3634035,PASS
10000,20,20,1,1.739132,1.6562904999999999,4.028298,4.00862275,5.149056,5.26092725,PASS
10000,20,20,2,1.75837525,0.91983475,4.0031015,2.2770070000000002,5.16261175,3.11545275,PASS
10000,20,20,4,1.86219125,0.5646225,4.00121225,1.79945825,5.114369249999999,2.08967575,PASS
10000,20,20,8,1.82339725,0.37563725000000003,4.05067875,1.26448425,5.168901,1.3567285,PASS
10000,20,20,16,1.7821335,0.3812995,4.04683425,1.26811325,5.161261,1.392946,PASS
10000,20,20,32,1.67283175,0.37331425,4.1224495,1.2577565,5.196396,1.360743,PASS
10000,40,20,1,2.0781025,1.86234125,3.02333675,3.0170742500000003,5.1228929999999995,5.21161425,PASS
10000,40,20,2,2.11668175,1.0705225,2.98221375,1.72976825,5.08652475,2.9205325,PASS
10000,40,20,4,2.06650225,0.63927175,3.0554302499999997,1.281597,5.10074275,2.03362425,PASS
10000,40,20,8,2.053077,0.44029275,3.18127725,0.9250715,5.1219045,1.366098,PASS
10000,40,20,16,2.02656025,0.42710950000000003,3.016052,0.94557075,5.13167475,1.39572625,PASS
